Model,Accuracy,AUC
Linear Regression baseline,0.7077922077922078,
Logistic Regression,0.7012987012987013,0.8079629629629629
Gradient Boosting,0.7662337662337663,0.8327777777777777
Random Forest,0.7337662337662337,0.8137962962962962
MLP,0.7467532467532467,0.8174074074074075
